Strain	Tomb26695	F16	SouthAfrica20	SouthAfrica7
HpGP-LAT-036	83.206	59.71	0.539	2.014
HpGP-LIT-001	78.491	47.639	1.918	2.963
HpGP-LIT-002	78.726	47.461	2.186	2.641
HpGP-LIT-003	82.471	55.254	2.13	2.729
HpGP-LIT-004	76.541	50.674	1.278	1.892
HpGP-LIT-006	78.208	53.033	2.82	3.737
HpGP-LIT-007	82.154	51.573	0.688	2.142
HpGP-LIT-008	78.105	47.942	0.5	1.764
HpGP-LIT-010	81.097	54.294	2.096	3.136
HpGP-LIT-012	76.892	49.525	2.143	3.626
HpGP-LIT-013	82.352	52.715	0.812	1.777
HpGP-LIT-020	77.844	51.191	0.59	1.997
HpGP-LIT-021	81.348	59.64	1.081	2.023
HpGP-LIT-023	83.497	54.69	0.675	2.565
HpGP-LIT-024	80.737	49.999	0.653	3.025
HpGP-LIT-025	78.036	53.375	0.998	1.47
HpGP-LIT-026	80.12	51.516	1.563	2.837
HpGP-LIT-028	83.23	53.202	1.5	3.179
HpGP-LIT-029	81.555	51.005	1.233	1.732
HpGP-LIT-030	82.05	50.763	1.042	2.59
HpGP-LIT-031	81.99	58.494	0.856	0.567
HpGP-LIT-032	77.112	56.211	1.303	2.908
HpGP-LIT-035	79.581	59.002	0.553	1.545
HpGP-LIT-041	79.721	54.105	1.914	3.069
HpGP-MAL-002	68.329	69.296	0.776	1.961
HpGP-MAL-003	53.863	93.868	0.605	1.44
HpGP-MAL-004	60.529	69.918	0.956	2.098
HpGP-MAL-005	55.216	95.477	0.305	1.315
HpGP-MAL-006	55.562	93.357	1.643	3.234
HpGP-MAL-007	58.217	18.659	1.153	2.583
HpGP-MAL-008	52.124	95.022	0.314	0.862
HpGP-MAL-010	58.033	92.545	2.254	2.288
HpGP-MAL-012	51.601	94.175	1.301	1.954
HpGP-MAL-015	54.968	95.036	0.692	1.407
HpGP-MAL-016	65.705	67.365	1.162	2.09
HpGP-MAL-017	65.007	67.145	0.661	1.658
HpGP-MAL-018	49.386	94.835	0.304	0.594
HpGP-MAL-019	64.066	67.416	0.403	2.133
HpGP-MAL-020	52.149	94.324	0.452	0.799
HpGP-MAL-021	55.872	94.52	1.624	2.403
HpGP-MAL-022	51.209	94.501	0.716	1.916
HpGP-MAL-023	51.653	93.342	0.594	2.008
HpGP-MAL-025	69.177	67.933	0.357	1.292
HpGP-MEX-001	63.675	30.955	1.741	3.779
HpGP-MEX-002	64.06	30.524	1.02	3.994
HpGP-MEX-003	59.043	21.508	0.724	2.845
HpGP-MEX-004	62.237	33.546	1.079	2.586
HpGP-MEX-006	67.322	27.391	1.091	2.743
HpGP-MEX-007	70.591	30.858	0.734	3.13
HpGP-MEX-008	67.949	42.247	2.417	5.349
HpGP-MEX-009	64.768	30.045	0.716	2.221
HpGP-MEX-010	64.813	26.595	1.281	2.795
HpGP-MEX-012	67.547	29.862	0.93	3.1
HpGP-MEX-023	62.89	31.267	0.915	2.992
HpGP-MEX-024	63.349	31.379	0.762	2.442
HpGP-MEX-027	63.34	24.894	0.883	2.011
HpGP-MEX-028	57.511	86.904	0.771	2.562
HpGP-MEX-032	64.733	30.898	0.477	2.177
HpGP-MEX-035	69.52	38.238	0.839	2.211
HpGP-MEX-040	61.779	28.738	2.245	3.332
HpGP-MEX-041	58.681	22.798	1.085	3.119
HpGP-MEX-043	64.06	38.754	0.834	2.855
HpGP-MEX-044	60.138	21.392	1.17	3.055
HpGP-MEX-045	58.095	16.429	1.632	3.823
HpGP-MEX-046	56.563	22.398	1.724	3.283
HpGP-MMR-001	66.453	74.132	1.829	3.681
HpGP-MMR-002	66.272	73.175	0.467	1.242
HpGP-MMR-003	64.41	68.497	1.206	2.216
HpGP-MMR-004	66.873	74.49	0.64	1.828
HpGP-MMR-005	70.362	70.285	1.831	3.074
HpGP-MMR-006	69.118	69.985	0.225	1.467
HpGP-MMR-007	65.514	70.373	0.569	1.754
HpGP-MMR-008	66.027	68.408	0.379	1.225
HpGP-MMR-009	66.282	71.189	0.563	2.1
HpGP-MMR-010	64.891	73.064	0.715	1.969
HpGP-MMR-011	63.67	69.4	0.319	1.774
HpGP-MMR-012	63.859	70.35	0.578	1.754
HpGP-NGA-006	44.437	13.481	1.593	4.431
HpGP-NGA-010	41.863	10.828	1.12	3.074
HpGP-NGA-017	22.671	4.151	1.738	4.817
HpGP-NGA-019	18.459	6.312	1.593	4.782
HpGP-NPL-001	75.472	56.192	0.831	2.004
HpGP-NPL-002	74.051	44.984	1.193	2.841
HpGP-NPL-003	77.735	61.737	0.52	1.911
HpGP-NPL-004	65.004	86.272	1.965	2.833
HpGP-NPL-005	74.533	47.626	0.736	2.784
HpGP-NPL-006	75.097	47.626	0.736	2.784
HpGP-NPL-007	67.155	83.925	1.585	2.375
HpGP-NPL-008	72.596	64.489	0.638	1.528
HpGP-NPL-009	73.782	60.653	0.852	1.595
HpGP-NPL-010	70.185	46.756	0.529	2.203
HpGP-NPL-011	73.765	57.889	0.244	0.947
HpGP-NPL-012	73.987	61.992	1.223	2.518
HpGP-NPL-013	71.458	64.062	0.571	0.745
HpGP-PER-011	57.754	84.997	0.588	1.704
HpGP-PER-013	27.859	9.834	1.924	4.906
HpGP-PER-014	64.322	26.225	0.977	2.468
HpGP-PER-016	65.791	26.546	1.492	3.984
HpGP-PER-017	61.221	19.314	2.044	3.027
HpGP-PER-018	63.736	28.39	1.747	2.957
HpGP-PER-019	57.466	90.143	0.729	1.968
HpGP-PER-020	33.911	13.325	1.744	4.931
HpGP-PER-021	68.53	35.586	0.871	2.784
HpGP-PER-101	64.375	39.356	1.233	2.08
HpGP-PER-102	54.357	27.955	0.798	2.645
HpGP-PER-103	68.026	30.202	0.728	2.159
HpGP-PER-104	62.973	39.505	1.285	3.31
HpGP-PER-105	62.148	55.18	1.846	3.7
HpGP-PER-106	62.921	28.54	0.638	2.455
HpGP-PER-107	61.84	28.113	1.949	2.759
HpGP-PER-108	56.248	29.218	1.45	2.853
HpGP-PER-109	65.857	34.643	0.551	2.876
HpGP-PER-110	63.897	31.23	1.079	3.077
HpGP-PER-111	54.984	88.963	0.741	1.951
HpGP-PER-112	44.128	18.766	1.566	3.235
HpGP-PER-113	60.115	24.85	1.991	2.765
HpGP-PER-114	60.699	38.434	1.032	2.605
HpGP-PER-115	62.891	29.603	1.957	3.193
HpGP-PER-116	39.493	18.849	1.459	4.734
HpGP-PER-117	66.429	35.535	0.783	1.741
HpGP-PER-119	64.89	46.353	0.867	2.978
HpGP-PER-121	57.594	88.283	1.923	3.171
HpGP-PER-124	64.031	23.617	2.008	3.92
HpGP-PER-130	66.374	26.686	0.665	2.144
HpGP-PER-136	63.927	31.664	0.976	2.744
HpGP-PER-138	60.766	87.381	1.59	3.14
HpGP-PER-140	42.417	18.774	1.055	2.201
HpGP-POL-001	77.58	51.346	1.687	2.451
HpGP-POL-002	77.753	48.385	1.155	3.567
HpGP-POL-003	78.46	47.686	0.922	3.08
HpGP-POL-004	77.13	39.715	1.374	3.504
HpGP-POL-005	78.665	49.201	0.843	1.879
HpGP-POL-006	81.216	42.126	0.64	1.349
HpGP-POL-007	80.273	47.338	0.598	2.084
HpGP-POL-008	72.827	52.292	0.84	2.388
HpGP-POL-009	81.225	53.681	0.69	0.955
HpGP-POL-010	76.807	43.862	0.862	2.606
HpGP-POL-101	74.675	48.374	0.675	2.096
HpGP-POL-102	81.059	52.704	0.855	3.052
HpGP-POL-103	81.902	53.089	0.484	1.86
HpGP-POL-104	81.954	56.369	1.918	3.086
HpGP-POL-105	77.59	50.42	0.931	2.189
HpGP-POL-106	74.457	41.261	0.903	1.461
HpGP-POL-107	78.564	51.205	2.26	4.227
HpGP-POL-108	74.457	41.261	0.903	1.461
HpGP-POL-109	75.396	48.029	2.347	3.22
HpGP-POL-110	74.474	45.555	0.536	1.847
HpGP-POR-001	72.302	26.448	0.636	3.416
HpGP-POR-002	65.829	22.184	0.801	3.668
HpGP-POR-003	72.92	27.349	1.836	3.514
HpGP-POR-004	12.72	3.759	0.844	4.114
HpGP-POR-005	67.957	29.665	1.806	4.946
HpGP-POR-006	31.217	4.794	0.824	5.208
HpGP-POR-007	68.107	27.33	2.196	3.094
HpGP-POR-008	71.899	27.425	0.473	2.876
HpGP-POR-009	70.444	28.653	1.047	1.978
HpGP-POR-010	72.087	32.483	1.967	3.882
HpGP-POR-011	67.41	25.335	1.834	4.372
HpGP-POR-012	69.429	26.887	0.82	2.177
HpGP-POR-013	66.279	24.512	1.626	3.717
HpGP-POR-015	73.019	30.073	2.527	4.94
HpGP-POR-018	69.55	25.914	1.227	4.405
HpGP-POR-101	65.547	26.457	2.36	3.567
HpGP-POR-102	70.886	25.854	1.114	3.01
HpGP-POR-103	65.27	30.142	2.014	3.851
HpGP-POR-104	73.141	27.604	1.307	3.216
HpGP-POR-105	72.832	27.097	0.835	2.923
HpGP-POR-106	66.485	21.791	1.985	4.787
HpGP-POR-107	72.847	26.857	0.991	3.898
HpGP-POR-108	70.277	28.581	0.719	2.864
HpGP-POR-109	69.58	27.206	0.407	2.16
HpGP-POR-110	58.377	17.674	1.817	3.076
HpGP-POR-111	64.615	25.156	0.697	3.817
HpGP-POR-112	67.731	23.992	1.987	4.693
HpGP-POR-113	61.888	21.137	1.935	3.056
HpGP-POR-114	64.47	27.57	1.495	3.201
HpGP-POR-115	69.818	23.828	1.812	2.085
HpGP-PRI-001	65.662	29.51	0.578	2.468
HpGP-PRI-002	71.04	26.639	2.348	3.868
HpGP-PRI-004	61.48	21.373	0.689	2.294
HpGP-PRI-005	22.297	6.133	1.71	4.593
HpGP-PRI-006	70.643	23.539	2.027	3.758
HpGP-PRI-007	67.228	29.917	2.222	4.425
HpGP-PRI-008	67.442	19.486	1.226	4.253
HpGP-RUS-001	82.438	52.924	0.8	1.262
HpGP-RUS-002	78.095	46.398	0.939	2.365
HpGP-RUS-003	79.722	45.749	0.399	0.647
HpGP-RUS-004	81.031	50.023	0.999	2.431
HpGP-RUS-006	76.43	46.638	1.212	3.703
HpGP-RUS-007	78.706	56.998	0.8	0.8
HpGP-RUS-008	71.943	51.333	1.955	2.902
HpGP-RUS-009	81.016	49.828	1.985	3.201
HpGP-RUS-010	78.648	55.694	0.519	2.838
HpGP-RUS-011	78.787	52.522	0.522	1.918
HpGP-SGP-002	54.015	93.123	0.598	1.272
HpGP-SGP-003	55.488	94.681	1.536	2.455
HpGP-SGP-004	56.817	94.255	1.331	2.615
HpGP-SGP-005	55.675	95.068	1.365	2.009
HpGP-SGP-006	54.483	93.875	0.592	1.663
HpGP-SGP-007	49.658	93.803	0.817	1.541
HpGP-SGP-008	56.412	94.331	0.525	2.265
HpGP-SGP-009	52.51	94.517	0.386	2.002
HpGP-SGP-012	53.299	92.873	0.426	0.918
HpGP-SGP-013	52.564	93.589	0.305	1.529
HpGP-SGP-014	53.138	93.766	0.434	1.543
HpGP-SGP-015	57.054	94.685	2.337	2.062
HpGP-SGP-017	54.898	93.738	1.773	2.763
HpGP-SGP-018	53.862	92.948	0.751	1.772
HpGP-SGP-019	54.889	94.082	0.443	1.33
HpGP-SGP-024	51.751	93.944	0.578	1.244
HpGP-SGP-026	55.165	93.594	0.456	1.591
HpGP-SGP-032	57.714	95.26	1.816	3.176
HpGP-SGP-033	52.323	94.598	0.472	0.437
HpGP-SGP-036	49.53	92.914	0.661	0.954
HpGP-SGP-038	60.552	95.195	1.947	2.905
HpGP-SPA-001	71.719	26.96	0.824	2.746
HpGP-SPA-002	70.386	26.604	0.677	3.051
HpGP-SPA-003	69.086	29.546	0.798	2.749
HpGP-SPA-004	66.891	23.092	2.188	3.618
HpGP-SPA-005	69.662	25.787	0.715	2.83
HpGP-SPA-006	67.673	22.982	1.037	3.532
HpGP-SPA-007	71.109	28.556	0.816	2.063
HpGP-SPA-008	70.715	23.287	1.132	3.625
HpGP-SPA-009	74.939	31.102	1.21	2.586
HpGP-SPA-010	71.123	29.522	2.716	4.011
HpGP-SPA-011	73.046	32.641	1.069	2.708
HpGP-SPA-012	74.568	29.891	1.059	2.082
HpGP-SPA-013	68.939	24.657	0.714	2.553
HpGP-SPA-014	68.778	29.585	0.633	3.339
HpGP-SPA-015	66.462	22.711	1.861	3.188
HpGP-SPA-016	62.932	20.332	0.588	3.058
HpGP-SPA-017	69.834	27.97	1.377	2.747
HpGP-SPA-018	65.607	25.395	0.907	2.298
HpGP-SPA-019	67.638	28.459	1.961	4.274
HpGP-SPA-020	69.375	23.642	2.223	3.904
HpGP-SPA-101	75.164	44.941	1.73	3.702
HpGP-SPA-102	72.261	27.605	1.265	3.293
HpGP-SPA-103	73.589	28.778	0.538	2.728
HpGP-SPA-104	63.607	22.343	1.839	3.67
HpGP-SPA-105	62.435	21.78	0.592	3.292
HpGP-SPA-107	71.854	25.363	0.731	3.192
HpGP-SPA-108	68.265	31.233	1.14	2.139
HpGP-SPA-110	73.587	25.631	0.646	2.973
HpGP-SPA-111	71.127	30.315	1.162	2.278
HpGP-SPA-201	68.25	27.123	1.217	2.63
HpGP-SPA-202	27.227	5.954	1.308	3.551
HpGP-SPA-203	70.509	30.583	0.627	2.301
HpGP-SPA-204	70.107	26.638	1.353	3.172
HpGP-SPA-205	68.075	25.96	0.889	2.585
HpGP-SPA-206	65.678	28.755	1.107	1.058
HpGP-SPA-207	63.581	31.396	0.512	2.567
HpGP-SPA-209	71.866	26.112	1.164	2.031
HpGP-SPA-210	69.934	24.823	0.914	2.525
HpGP-SPA-301	68.352	24.593	0.599	2.016
HpGP-SPA-302	69.611	31.283	1.398	2.698
HpGP-SPA-303	70.013	29.408	1.683	3.234
HpGP-SPA-304	73.449	24.946	0.709	2.835
HpGP-SPA-305	65.611	28.495	0.891	2.778
HpGP-SPA-306	70.433	28.653	1.669	3.81
HpGP-SPA-307	68.746	29.849	0.855	2.627
HpGP-SPA-308	71.462	26.881	2.165	3.83
HpGP-SPA-309	68.082	29.771	1.972	3.785
HpGP-SPA-310	70.94	30.781	1.054	2.926
HpGP-SPA-311	70.548	32.465	0.987	3.073
HpGP-SPA-312	70.645	23.537	1.135	2.809
HpGP-SPA-313	65.451	22.834	1.713	2.45
HpGP-SPA-314	66.512	24.261	1.654	2.277
HpGP-SPA-315	74.4	36.946	1.596	2.826
HpGP-SPA-316	71.043	31.232	1.911	3.689
HpGP-SPA-317	16.855	4.114	1.697	4.727
HpGP-SPA-318	63.164	23.324	1.24	3.715
HpGP-SPA-319	73.051	24.698	1.262	4.129
HpGP-SPA-320	65.448	23.901	1.775	3.77
HpGP-SPA-321	71.539	22.304	1.293	3.04
HpGP-SPA-322	72.474	27.69	0.616	3.315
HpGP-SPA-323	67.504	27.581	1.862	3.779
HpGP-SPA-324	70.943	27.198	1.992	3.665
HpGP-SPA-325	71.811	28.321	0.928	2.744
HpGP-SPA-401	68.819	25.396	0.876	2.092
HpGP-SPA-402	23.704	2.054	1.415	4.74
HpGP-SPA-403	70.249	25.251	1.269	1.172
HpGP-SPA-404	67.142	18.943	1.241	2.564
HpGP-SPA-405	71.406	29.091	1.893	2.874
HpGP-SPA-406	71.817	28.418	1.023	3.14
HpGP-SPA-407	68.117	24.872	2.306	4.071
HpGP-SPA-409	27.946	5.295	1.545	4.754
HpGP-SPA-413	70.02	26.449	1.322	3.056
HpGP-SPA-414	68.572	24.855	0.755	2.953
HpGP-SPA-501	64.478	29.183	0.682	2.315
HpGP-SPA-502	72.367	22.853	0.692	2.625
HpGP-SPA-503	73.303	21.838	1.637	3.138
HpGP-SPA-504	80.674	49.393	1.491	2.496
HpGP-SPA-505	67.507	23.316	1.512	3.224
HpGP-SPA-506	69.853	33.753	2.181	4.879
HpGP-SPA-507	67.221	23.341	1.037	2.701
HpGP-SPA-508	72.018	29.715	0.913	3.027
HpGP-SPA-509	62.404	21.442	0.936	2.988
HpGP-SPA-510	69.078	26.216	0.714	3.303
HpGP-SPA-601	67.669	25.304	0.899	3.628
HpGP-SPA-604	72.539	30.503	0.825	1.845
HpGP-SPA-606	71.272	22.608	1.329	3.616
HpGP-SPA-607	70.412	27.833	1.793	3.654
HpGP-SPA-609	43.275	9.846	1.138	3.088
HpGP-SPA-610	69.89	28.385	0.773	2.139
HpGP-SPA-611	66.804	23.789	0.998	2.942
HpGP-SPA-701	73.842	28.131	0.973	3.135
HpGP-SPA-702	74.36	26.932	1.273	2.715
HpGP-SPA-703	73.968	27.636	0.888	2.382
HpGP-SPA-704	72.757	26.138	1.463	3.603
HpGP-SPA-705	69.076	29.826	2.533	3.641
HpGP-SPA-706	58.19	87.173	0.732	2.257
HpGP-SPA-707	74.753	30.659	0.642	3.306
HpGP-SPA-709	79.37	47.309	0.614	1.677
HpGP-SPA-710	65.744	21.356	1.814	3.654
HpGP-SPA-801	69.858	25.22	0.807	2.659
HpGP-SPA-802	65.585	27.827	2.317	3.729
HpGP-SPA-803	68.099	23.906	2.085	3.273
HpGP-SPA-804	63.855	43.003	1.893	4.028
HpGP-SPA-805	72.182	23.031	1.192	3.748
HpGP-SPA-806	75.423	45.159	2.282	3.806
HpGP-SPA-807	62.532	22.243	0.988	2.815
HpGP-SWE-001	80.074	52.329	1.123	2.281
HpGP-SWE-002	85.065	58.774	0.691	2.539
HpGP-SWE-003	79.739	54.891	0.557	1.193
HpGP-SWE-004	79.739	54.874	0.557	1.193
HpGP-SWE-005	81.681	53.658	0.79	2.974
HpGP-SWE-006	76.622	34.344	1.993	3.317
HpGP-SWE-007	79.349	57.103	0.683	1.838
HpGP-SWE-008	79.425	60.525	0.73	2.578
HpGP-SWE-010	85.207	57.578	1.294	2.262
HpGP-SWE-012	81.818	55.551	2.077	3.846
HpGP-SWE-013	79.266	56.723	1.189	2.15
HpGP-SWE-014	80.866	56.14	0.533	1.88
HpGP-SWE-015	75.991	53.28	0.982	2.961
HpGP-SWE-016	80.252	54.209	0.648	2.138
HpGP-SWE-017	82.825	58.27	0.524	1.416
HpGP-SWE-018	83.833	67.131	1.584	3.019
HpGP-SWE-019	82.624	54.877	2.245	2.614
HpGP-SWE-021	82.021	65.049	1.01	1.723
HpGP-SWE-022	82.636	62.652	0.821	1.892
HpGP-SWE-024	82.156	57.874	0.864	2.515
HpGP-SWE-025	81.439	53.145	0.596	1.221
HpGP-SWE-026	83.492	55.373	1.452	2.866
HpGP-SWE-027	81.143	60.883	0.414	1.901
HpGP-SWE-028	83.291	63.24	1.637	2.947
HpGP-SWE-030	80.997	53.826	0.583	1.732
HpGP-SWE-031	81.568	55.719	1.251	1.177
HpGP-SWE-032	82.957	62.176	2.239	3.024
HpGP-SWE-033	79.359	55.021	0.45	2.52
HpGP-SWE-034	83.186	61.096	1.031	1.856
HpGP-SWE-036	82.812	62.491	0.561	2.291
HpGP-SWT-001	73.95	23.868	1.954	4.453
HpGP-SWT-002	79.564	44.817	0.978	2.523
HpGP-SWT-003	72.626	27.337	2.178	4.422
HpGP-SWT-004	83.704	50.366	1.488	3.131
HpGP-SWT-005	71.481	33.267	0.851	3.219
HpGP-SWT-006	78.05	43.547	0.951	1.922
HpGP-SWT-007	79.778	49.598	1.441	3.14
HpGP-SWT-008	78.883	44.16	2.216	3.926
HpGP-SWT-010	60.283	16.667	1.921	3.354
HpGP-SWT-011	81.419	50.98	2.196	3.33
HpGP-SWT-012	68.972	27.174	2.544	3.71
HpGP-SWT-013	77.386	41.75	0.781	1.932
HpGP-SWT-014	80.063	48.11	1.621	3.059
HpGP-SWT-015	69.594	25.686	1.544	3.795
HpGP-SWT-017	75.181	34.24	0.612	2.516
HpGP-TUR-001	81.725	49.569	1.526	2.65
HpGP-TUR-002	79.551	52.523	0.481	1.756
HpGP-TUR-003	75.349	41.182	1.229	2.273
HpGP-TUR-004	81.107	43.979	2.493	2.035
HpGP-TUR-005	79.831	53.194	0.653	1.756
HpGP-TUR-006	76.068	47.082	0.957	2.048
HpGP-TUR-007	79.851	51.411	2.05	3.603
HpGP-TUR-008	79.838	45.879	0.566	2.572
HpGP-TUR-009	79.367	52.806	0.914	1.661
HpGP-TUR-010	72.781	40.028	0.735	2.586
HpGP-TUR-011	79.868	51.411	2.05	3.603
HpGP-TUR-014	77.58	46.407	0.687	1.188
HpGP-TUR-016	80.48	54.362	1.205	3.743
HpGP-TUR-017	79.856	50.208	1.189	2.385
HpGP-TUR-021	79.742	52.492	2.05	3.603
HpGP-TUR-022	78.247	53.157	1.292	2.494
HpGP-TUR-023	79.967	55.044	1.045	1.387
HpGP-TWN-001	52.022	93.337	0.624	1.657
HpGP-TWN-002	51.013	91.284	0.885	1.492
HpGP-TWN-003	53.525	94.382	0.578	1.491
HpGP-TWN-004	50.517	94.973	0.489	1.352
HpGP-TWN-005	53.422	93.78	0.771	1.38
HpGP-TWN-006	54.772	90.505	0.917	2.079
HpGP-TWN-007	53.519	94.12	0.442	1.773
HpGP-TWN-008	55.157	94.614	0.305	0.694
HpGP-TWN-009	57.973	94.196	0.612	1.732
HpGP-TWN-010	49.44	93.717	0.932	2.02
HpGP-TWN-016	53.989	94.004	0.407	1.637
HpGP-TWN-017	56.548	94.339	0.305	1.708
HpGP-TWN-018	55.362	94.082	1.826	3.181
HpGP-TWN-019	53.397	94.577	0.451	1.118
HpGP-TWN-020	53.895	94.929	1.738	2.731
HpGP-TWN-021	54.868	94.175	0.694	1.555
HpGP-TWN-022	55.144	94.379	0.466	1.467
HpGP-TWN-023	55.88	93.891	0.57	1.401
HpGP-TWN-024	53.667	93.994	2.191	3.235
HpGP-TWN-026	54.015	94.413	0.426	0.769
HpGP-TWN-027	51.068	94.429	1.854	3.206
HpGP-TWN-028	52.626	93.542	0.597	1.317
HpGP-TWN-029	57.515	93.759	0.336	0.596
HpGP-TWN-030	50.033	94.619	0.808	1.888
HpGP-USA-001	64.215	30.662	0.788	2.981
HpGP-USA-002	66.034	28.029	0.855	2.657
HpGP-USA-003	37.033	15.752	1.493	3.618
HpGP-USA-004	63.705	31.907	1.532	2.991
HpGP-USA-005	67	31.418	0.88	2.554
HpGP-USA-008	59.986	23.648	0.879	3.107
HpGP-USA-009	76.461	45.37	0.91	2.785
HpGP-USA-011	51.275	94.948	1.934	3.127
HpGP-USA-101	77.527	50.709	2.102	2.412
HpGP-USA-102	30.697	8.844	1.141	4.684
HpGP-USA-104	23.573	6.483	0.842	4.346
HpGP-USA-105	31.584	7.174	1.474	3.934
HpGP-USA-106	78.223	43.666	1.639	3.062
HpGP-USA-115	78.367	29.122	1.7	2.67
HpGP-USA-116	75.448	33.319	1.363	3.763
HpGP-USA-119	72.626	28.346	1.612	2.632
HpGP-USA-120	75.738	36.686	1.663	2.761
HpGP-USA-123	80.891	48.025	1.691	2.671
HpGP-USA-201	63.835	25.187	1.737	4.903
HpGP-USA-202	17.41	5.238	0.877	3.903
HpGP-USA-203	57.645	22.778	0.524	2.761
HpGP-USA-204	66.381	28.645	1.236	2.295
HpGP-USA-205	59.3	86.451	1.605	3.168
HpGP-USA-206	44.306	12.041	1.744	3.628
HpGP-USA-207	66.597	33.01	1.132	2.558
HpGP-USA-208	71.579	28.659	0.725	3.779
HpGP-USA-301	18.941	4.569	1.087	4.986
HpGP-USA-302	61.507	27.045	1.928	3.312
HpGP-USA-303	20.217	4.044	1.812	4.477
HpGP-USA-304	18.927	3.93	1.062	4.719
HpGP-USA-305	28.454	7.189	2.108	5.343
HpGP-USA-306	30.007	8.287	2.013	5.805
HpGP-USA-311	34.313	7.815	1.282	4.588
HpGP-USA-401	75.175	36.155	2.002	4.944
HpGP-USA-402	77.427	34.139	1.221	3.704
HpGP-USA-403	19.685	4.55	1.187	3.55
HpGP-USA-404	75.172	36.265	2.019	4.736
HpGP-USA-405	78.116	38.048	1.432	3.76
HpGP-USA-406	22.805	5.525	2.114	5.288
HpGP-USA-407	75.556	39.827	1.371	2.672
HpGP-USA-408	29.199	10.223	0.82	3.66
HpGP-USA-409	32.675	8.982	1.367	3.433
HpGP-USA-410	80.176	39.761	1.411	2.954
HpGP-USA-411	26.231	10.099	1.307	5.375
HpGP-USA-412	33.195	9.045	1.459	5.168
HpGP-USA-413	44.224	15.807	1.792	3.862
HpGP-USA-414	74.861	27.613	0.649	2.069
HpGP-USA-415	22.836	6.289	1.92	4.95
HpGP-USA-416	22.952	4.268	1.507	4.57
HpGP-USA-417	20.061	3.62	0.339	3.365
HpGP-USA-418	17.551	5.43	1.45	5.059
HpGP-USA-419	17.879	4.328	1.273	4.297
HpGP-USA-420	20.405	3.342	1.279	4.813
HpGP-USA-421	25.621	5.83	1.509	4.779
HpGP-USA-422	68.695	68.228	0.657	1.539
HpGP-USA-423	67.154	28.866	1.309	2.768
HpGP-USA-424	30.284	4.601	1.707	4.698
HpGP-USA-425	54.104	94.572	0.613	1.739
HpGP-USA-427	16.584	4.237	1.448	2.679
HpGP-USA-428	24.491	6.211	1.755	4.941
HpGP-USA-429	18.532	5.168	0.685	3.909
HpGP-USA-431	78.933	37.745	0.967	2.809
HpGP-USA-432	19.166	4.019	1.59	5.502
HpGP-USA-433	22.736	4.228	1.45	5.474
HpGP-USA-434	20.786	5.951	0.667	3.996
HpGP-USA-435	11.468	3.086	0.969	5.489
HpGP-USA-436	79.407	38.91	1.475	3.296
HpGP-USA-437	25.466	6.974	0.877	4.666
HpGP-VNM-001	58.17	93.253	0.401	1.344
HpGP-VNM-002	55.171	92.346	0.256	1.498
HpGP-VNM-003	58.253	91.658	2.135	1.78
HpGP-VNM-004	54.394	92.933	0.594	0.852
HpGP-VNM-005	53.073	92.959	0.689	1.743
HpGP-VNM-006	54.035	92.501	0.683	0.695
HpGP-VNM-007	54.952	93.784	0.306	1.58
HpGP-VNM-008	56.222	91.615	0.58	2.213
HpGP-VNM-009	55.366	93.303	1.511	2.423
HpGP-ZAF-001	2.483	2.283	94.748	90.001
HpGP-ZAF-002	23.976	8.272	3.097	6.897
HpGP-ZAF-004	21.691	8.366	1.241	5.73
HpGP-ZAF-006	0.558	0.629	91.972	88.853
HpGP-ZAF-007	0.672	0.634	92.532	92.098
HpGP-ZAF-008	39.445	7.003	5.356	6.646
HpGP-ZAF-009	2.43	1.081	88.291	86.166
HpGP-ZAF-010	20.762	5.952	8.068	11.645
HpGP-ZAF-011	22.833	5.275	3.078	5.909
